"Site","Year","Species","Tree","Sample","DY","RF","CZ","EZ","WZ","MZ","PR"
"ABI",2023,"PISY","7",7,173,"3",12,10,12,0,61
"ABI",2023,"PISY","7",8,181,"1",9,4,12,0,27
"ABI",2023,"PISY","7",8,181,"2",8,5,13,0,28
"ABI",2023,"PISY","7",8,181,"3",9,5,15,0,30
"ABI",2023,"PISY","7",9,195,"1",9,6,27,11,35
"ABI",2023,"PISY","7",9,195,"2",10,6,26,10,41
"ABI",2023,"PISY","7",9,195,"3",12,5,25,16,40
"ABI",2023,"PISY","7",10,208,"1",9,3,19,26,43
"ABI",2023,"PISY","7",10,208,"2",8,2,19,28,47
"ABI",2023,"PISY","7",10,208,"3",9,2,17,27,45
"ABI",2023,"PISY","7",11,223,"1",7,0,26,19,54
"ABI",2023,"PISY","7",11,223,"2",7,1,27,17,49
"ABI",2023,"PISY","7",11,223,"3",7,1,26,17,48
"ABI",2023,"PISY","7",12,236,"1",6,0,10,25,32
"ABI",2023,"PISY","7",12,236,"2",6,0,9,27,28
"ABI",2023,"PISY","7",12,236,"3",7,0,15,20,31
"ABI",2023,"PISY","7",13,250,"1",7,0,5,62,69
"ABI",2023,"PISY","7",13,250,"2",8,0,8,61,62
"ABI",2023,"PISY","7",13,250,"3",7,0,3,72,71
"ABI",2023,"PISY","7",14,293,"1",9,0,0,86,NA
"ABI",2023,"PISY","7",14,293,"2",8,0,0,76,NA
"ABI",2023,"PISY","7",14,293,"3",9,0,0,84,NA
